src 	 time 	 tahrs 	 bank 	 attitude 	 heading 	 traw 	 acc[0] 	 acc[1] 	 acc[2] 	 mag[0] 	 mag[1] 	 mag[2] 	 gyr[0] 	 gyr[1] 	 gyr[2]
2 	 1.757516 	 1972516.000000 	 107.908585 	 -68.244591 	 200.828186 	 1972516.000000 	 -9.378361 	 3.767040 	 1.255680 	 -0.302985 	 -0.228358 	 0.868657 	 0.008552 	 0.003665 	 0.018326
1 	 1.776921 	 1978666.000000 	 -101.434647 	 -78.662857 	 310.738861 	 1978666.000000 	 -10.123920 	 -1.883520 	 0.235440 	 -0.667164 	 -0.037313 	 0.268657 	 -0.007330 	 0.008552 	 0.020769
2 	 1.781630 	 1972546.000000 	 107.908844 	 -68.254745 	 200.831985 	 1972546.000000 	 -9.417601 	 3.492360 	 1.098720 	 -0.302985 	 -0.225373 	 0.865672 	 0.007330 	 0.006109 	 0.013439
1 	 1.800915 	 1978686.000000 	 -101.335838 	 -78.667198 	 310.837463 	 1978686.000000 	 -10.045441 	 -2.040480 	 0.274680 	 -0.671642 	 -0.037313 	 0.268657 	 0.003665 	 0.001222 	 0.023213
2 	 1.805965 	 1972556.000000 	 107.914474 	 -68.258217 	 200.837280 	 1972556.000000 	 -9.535320 	 3.570840 	 1.177200 	 -0.310448 	 -0.228358 	 0.874627 	 0.004887 	 0.004887 	 0.014661
1 	 1.824969 	 1978716.000000 	 -101.303619 	 -78.732063 	 310.878632 	 1978716.000000 	 -9.927721 	 -1.883520 	 0.353160 	 -0.667164 	 -0.040299 	 0.276119 	 0.000000 	 0.003665 	 0.020769
2 	 1.829935 	 1972576.000000 	 107.905136 	 -68.232483 	 200.827209 	 1972576.000000 	 -9.299881 	 3.688560 	 1.137960 	 -0.310448 	 -0.234328 	 0.868657 	 0.008552 	 0.004887 	 0.015882
1 	 1.848882 	 1978736.000000 	 -101.290771 	 -78.720375 	 310.890015 	 1978736.000000 	 -9.966961 	 -2.001240 	 0.392400 	 -0.668657 	 -0.029851 	 0.261194 	 -0.002443 	 0.006109 	 0.018326
2 	 1.853310 	 1972596.000000 	 107.925560 	 -68.216652 	 200.845352 	 1972596.000000 	 -9.456841 	 3.688560 	 1.216440 	 -0.314925 	 -0.232836 	 0.874627 	 -0.001222 	 0.004887 	 0.014661
1 	 1.872114 	 1978746.000000 	 -101.290695 	 -78.720093 	 310.891785 	 1978746.000000 	 -10.006201 	 -1.962000 	 0.392400 	 -0.670149 	 -0.038806 	 0.262687 	 0.001222 	 0.006109 	 0.020769
2 	 1.876844 	 1972636.000000 	 107.862022 	 -68.221550 	 200.786469 	 1972636.000000 	 -9.535320 	 3.649320 	 1.137960 	 -0.319403 	 -0.234328 	 0.874627 	 0.004887 	 0.002443 	 0.021991
1 	 1.896288 	 1978766.000000 	 -101.394562 	 -78.705490 	 310.797363 	 1978766.000000 	 -10.045441 	 -2.040480 	 0.510120 	 -0.671642 	 -0.038806 	 0.261194 	 0.006109 	 0.004887 	 0.021991
1 	 1.920205 	 1978796.000000 	 -101.450058 	 -78.707893 	 310.751068 	 1978796.000000 	 -9.966961 	 -1.922760 	 0.392400 	 -0.673134 	 -0.037313 	 0.268657 	 0.000000 	 0.003665 	 0.019548
2 	 1.925073 	 1972656.000000 	 107.840523 	 -68.215294 	 200.769165 	 1972656.000000 	 -9.456841 	 3.649320 	 1.177200 	 -0.304478 	 -0.231343 	 0.865672 	 0.004887 	 0.003665 	 0.014661
1 	 1.944049 	 1978806.000000 	 -101.442307 	 -78.711250 	 310.758728 	 1978806.000000 	 -9.927721 	 -1.922760 	 0.353160 	 -0.671642 	 -0.046269 	 0.276119 	 -0.001222 	 0.003665 	 0.023213
2 	 1.948862 	 1972676.000000 	 107.832100 	 -68.219254 	 200.759552 	 1972676.000000 	 -9.653041 	 3.649320 	 1.059480 	 -0.307463 	 -0.234328 	 0.865672 	 0.001222 	 0.003665 	 0.018326
1 	 1.967949 	 1978816.000000 	 -101.437820 	 -78.718964 	 310.765991 	 1978816.000000 	 -9.966961 	 -1.883520 	 0.353160 	 -0.667164 	 -0.032836 	 0.268657 	 0.003665 	 0.004887 	 0.024435
2 	 1.972765 	 1972706.000000 	 107.728920 	 -68.239044 	 200.668152 	 1972706.000000 	 -9.574560 	 3.570840 	 1.020240 	 -0.316418 	 -0.228358 	 0.873134 	 0.009774 	 0.004887 	 0.015882
1 	 1.992038 	 1978846.000000 	 -101.439743 	 -78.716377 	 310.764740 	 1978846.000000 	 -9.888481 	 -1.962000 	 0.392400 	 -0.673134 	 -0.031343 	 0.262687 	 -0.004887 	 0.012217 	 0.020769
2 	 1.996824 	 1972716.000000 	 107.716957 	 -68.239586 	 200.655777 	 1972716.000000 	 -9.574560 	 3.610080 	 1.059480 	 -0.319403 	 -0.231343 	 0.895522 	 0.001222 	 0.000000 	 0.020769
1 	 2.013606 	 1978856.000000 	 -101.410782 	 -78.722328 	 310.792572 	 1978856.000000 	 -10.006201 	 -1.922760 	 0.353160 	 -0.674627 	 -0.032836 	 0.271642 	 -0.003665 	 0.010996 	 0.024435
2 	 2.046968 	 1972736.000000 	 107.751213 	 -68.254288 	 200.685501 	 1972736.000000 	 -9.653041 	 3.492360 	 1.177200 	 -0.305970 	 -0.223881 	 0.865672 	 0.008552 	 -0.001222 	 0.014661
2 	 2.051914 	 1972746.000000 	 107.747391 	 -68.261993 	 200.688263 	 1972746.000000 	 -9.613801 	 3.610080 	 1.098720 	 -0.314925 	 -0.229851 	 0.882090 	 0.013439 	 -0.001222 	 0.007330
1 	 2.071648 	 1978907.000000 	 -101.397125 	 -78.738716 	 310.801453 	 1978907.000000 	 -10.006201 	 -1.844280 	 0.431640 	 -0.662687 	 -0.026866 	 0.267164 	 -0.003665 	 0.007330 	 0.020769
2 	 2.076561 	 1972766.000000 	 107.752213 	 -68.290520 	 200.694016 	 1972766.000000 	 -9.535320 	 3.453120 	 1.177200 	 -0.314925 	 -0.229851 	 0.877612 	 0.012217 	 0.009774 	 0.010996
1 	 2.095751 	 1978926.000000 	 -101.342888 	 -78.746941 	 310.852844 	 1978926.000000 	 -9.888481 	 -1.883520 	 0.313920 	 -0.665672 	 -0.032836 	 0.262687 	 -0.002443 	 0.008552 	 0.019548
2 	 2.101113 	 1972786.000000 	 107.752632 	 -68.284409 	 200.694977 	 1972786.000000 	 -9.535320 	 3.610080 	 1.137960 	 -0.311940 	 -0.235821 	 0.894030 	 0.001222 	 0.000000 	 0.020769
1 	 2.123366 	 1978936.000000 	 -101.348289 	 -78.756325 	 310.848114 	 1978936.000000 	 -9.966961 	 -1.805040 	 0.392400 	 -0.662687 	 -0.034328 	 0.258209 	 -0.001222 	 0.007330 	 0.018326
2 	 2.127560 	 1972826.000000 	 107.715324 	 -68.323082 	 200.665817 	 1972826.000000 	 -9.496080 	 3.531600 	 1.059480 	 -0.317910 	 -0.231343 	 0.882090 	 0.000000 	 0.003665 	 0.019548
1 	 2.148723 	 1978956.000000 	 -101.316734 	 -78.738998 	 310.880585 	 1978956.000000 	 -10.006201 	 -2.040480 	 0.353160 	 -0.671642 	 -0.032836 	 0.264179 	 -0.001222 	 0.008552 	 0.010996
2 	 2.154190 	 1972836.000000 	 107.703033 	 -68.318474 	 200.657150 	 1972836.000000 	 -9.299881 	 3.610080 	 1.098720 	 -0.310448 	 -0.235821 	 0.877612 	 0.009774 	 0.004887 	 0.013439
1 	 2.177038 	 1978986.000000 	 -101.319855 	 -78.734093 	 310.881531 	 1978986.000000 	 -10.045441 	 -1.962000 	 0.392400 	 -0.664179 	 -0.032836 	 0.276119 	 0.000000 	 0.004887 	 0.019548
2 	 2.181583 	 1972846.000000 	 107.694160 	 -68.317116 	 200.647583 	 1972846.000000 	 -9.378361 	 3.570840 	 1.137960 	 -0.313433 	 -0.234328 	 0.882090 	 0.004887 	 0.010996 	 0.017104
1 	 2.200861 	 1978996.000000 	 -101.278397 	 -78.732201 	 310.923462 	 1978996.000000 	 -9.966961 	 -2.001240 	 0.313920 	 -0.664179 	 -0.032836 	 0.261194 	 0.000000 	 0.008552 	 0.021991
2 	 2.205574 	 1972876.000000 	 107.746056 	 -68.310089 	 200.690750 	 1972876.000000 	 -9.456841 	 3.531600 	 1.216440 	 -0.310448 	 -0.228358 	 0.883582 	 -0.002443 	 0.004887 	 0.008552
1 	 2.224867 	 1979006.000000 	 -101.252380 	 -78.722847 	 310.949371 	 1979006.000000 	 -9.966961 	 -2.079720 	 0.353160 	 -0.668657 	 -0.038806 	 0.267164 	 -0.001222 	 0.006109 	 0.020769
2 	 2.248981 	 1972896.000000 	 107.782188 	 -68.325882 	 200.725586 	 1972896.000000 	 -9.456841 	 3.531600 	 1.177200 	 -0.316418 	 -0.229851 	 0.882090 	 0.007330 	 0.006109 	 0.008552
2 	 2.254625 	 1972906.000000 	 107.788109 	 -68.316681 	 200.727509 	 1972906.000000 	 -9.496080 	 3.649320 	 1.216440 	 -0.304478 	 -0.229851 	 0.880597 	 0.000000 	 0.007330 	 0.023213
1 	 2.277097 	 1979066.000000 	 -101.134483 	 -78.719467 	 311.067871 	 1979066.000000 	 -10.045441 	 -1.883520 	 0.353160 	 -0.676119 	 -0.035821 	 0.271642 	 -0.004887 	 0.003665 	 0.020769
2 	 2.282415 	 1972926.000000 	 107.788956 	 -68.296341 	 200.724869 	 1972926.000000 	 -9.653041 	 3.767040 	 1.137960 	 -0.314925 	 -0.231343 	 0.880597 	 0.000000 	 0.007330 	 0.017104
