time 	 pedal_angle(deg) 	 bike speed(km/h) 	 distance(m) 	 cadence(rpm) 	 HR (BPM) 
0.021 	 89.5 	 -0.0 	 -0.0 	 0.3 	 0 
0.040 	 89.5 	 -0.0 	 -0.0 	 0.3 	 0 
0.044 	 89.5 	 -0.0 	 -0.0 	 0.3 	 0 
0.048 	 89.5 	 -0.0 	 -0.0 	 0.3 	 0 
0.052 	 89.5 	 -0.0 	 -0.0 	 0.3 	 0 
0.087 	 89.5 	 -0.0 	 -0.0 	 0.2 	 0 
0.089 	 89.5 	 -0.0 	 -0.0 	 0.2 	 0 
0.112 	 89.5 	 -0.0 	 -0.0 	 0.2 	 0 
0.118 	 89.6 	 -0.0 	 -0.0 	 0.1 	 0 
0.126 	 89.6 	 -0.0 	 -0.0 	 0.1 	 0 
0.136 	 89.6 	 -0.0 	 -0.0 	 0.1 	 0 
0.138 	 89.6 	 -0.0 	 -0.0 	 0.1 	 0 
0.140 	 89.6 	 -0.0 	 -0.0 	 0.1 	 0 
0.151 	 89.6 	 -0.0 	 -0.0 	 0.1 	 0 
0.162 	 89.6 	 -0.0 	 -0.0 	 0.2 	 0 
0.196 	 89.6 	 -0.0 	 -0.0 	 0.2 	 0 
0.198 	 89.6 	 -0.0 	 -0.0 	 0.2 	 0 
0.200 	 89.6 	 -0.0 	 -0.0 	 0.2 	 0 
0.208 	 89.6 	 -0.0 	 -0.0 	 0.2 	 0 
0.211 	 89.6 	 -0.0 	 -0.0 	 0.2 	 0 
0.218 	 89.6 	 -0.0 	 -0.0 	 0.2 	 0 
0.252 	 89.6 	 -0.0 	 -0.0 	 0.2 	 0 
0.256 	 89.6 	 -0.0 	 -0.0 	 0.2 	 0 
0.272 	 89.5 	 -0.0 	 -0.0 	 0.1 	 0 
0.274 	 89.5 	 -0.0 	 -0.0 	 0.1 	 0 
0.296 	 89.5 	 -0.0 	 -0.0 	 0.2 	 0 
0.300 	 89.5 	 -0.0 	 -0.0 	 0.2 	 0 
0.304 	 89.5 	 -0.0 	 -0.0 	 0.2 	 0 
0.308 	 89.4 	 -0.0 	 -0.0 	 0.2 	 0 
0.309 	 89.4 	 -0.0 	 -0.0 	 0.2 	 0 
0.312 	 89.4 	 -0.0 	 -0.0 	 0.2 	 0 
0.316 	 89.4 	 -0.0 	 -0.0 	 0.2 	 0 
0.332 	 89.5 	 -0.0 	 -0.0 	 0.2 	 0 
0.337 	 89.5 	 -0.0 	 -0.0 	 0.2 	 0 
0.342 	 89.5 	 -0.0 	 -0.0 	 0.2 	 0 
0.344 	 89.5 	 -0.0 	 -0.0 	 0.2 	 0 
0.346 	 89.5 	 -0.0 	 -0.0 	 0.2 	 0 
0.356 	 89.5 	 -0.0 	 -0.0 	 0.1 	 0 
